Time_us,Q1,Q2,Q3,Q4,Q5,Q6,Qdot_a1,Qdot_a2,Qdot_a3,Qdot_a4,Qdot_a5,Qdot_a6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,X,Y,Z,Rx,Ry,Rz,FT1,FT2,FT3,FT4,FT5,FT6,F_cmd1,F_cmd2,F_cmd3,F_cmd4,F_cmd5,F_cmd6,v_meas1,v_meas2,v_meas3,v_meas4,v_meas5,v_meas6,v_lpf1,v_lpf2,v_lpf3,v_lpf4,v_lpf5,v_lpf6,vel1,vel2,vel3,vel4,vel5,vel6,bd_desired,bd_applied,beta_hat,K_hat,curvature_hat,target_curvature,gamma1,gamma2,intended_acc_x,intended_acc_y,intended_force_x,intended_force_y,intended_dir_x,intended_dir_y,B11,B12,B21,B22,indirect_ready
1781299487906244,0.00776672,-0.353656,1.82012,0,0.968012,3.49066e-05,0,-0.00171042,-0.0116239,0,0,0,0,0,0,0,0,0,0.372372,0.00289216,0.120375,-3.13386,-0.00019205,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.00227621,1.7679e-05,0.00228307,7.69943e-05,-0.00991317,0,0.000455242,3.5358e-06,0.000456614,1.53989e-05,-0.00198263,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.00956007,7.42519e-05,1,0,150,0,0,150,0
1781299487911064,0.00776672,-0.353656,1.82008,0,0.968012,3.49066e-05,0,0,-0.0100531,0,0,0,0,0,0,0,0,0,0.372386,0.00289228,0.120384,-3.13386,-0.000157122,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.00173869,1.35042e-05,0.00252554,7.80788e-05,-0.0100528,0,0.000711931,5.52948e-06,0.000870398,2.79348e-05,-0.00359667,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0231722,0.000179975,1,0,150,0,0,150,0
1781299487916233,0.00776672,-0.353656,1.82005,0,0.968012,3.49066e-05,0,0,-0.00764454,0,0,0,0,0,0,0,0,0,0.372401,0.00289239,0.120393,-3.13386,-0.000122163,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.00132206,1.02683e-05,0.00192051,5.93724e-05,-0.00764431,0,0.000833957,6.47723e-06,0.00108042,3.42224e-05,-0.0044062,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0374412,0.000290801,1,0,150,0,0,150,0
1781299487921315,0.00776672,-0.353656,1.82001,0,0.968012,3.49066e-05,0,0,-0.00621337,0,0,0,0,0,0,0,0,0,0.372415,0.0028925,0.120401,-3.13386,-8.72612e-05,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.0010745,8.34548e-06,0.001561,4.8257e-05,-0.00621318,0,0.000882065,6.85088e-06,0.00117654,3.70293e-05,-0.00476759,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0507227,0.000393957,1,0,150,0,0,150,0
1781299487926357,0.00776672,-0.353656,1.81999,0,0.968012,3.49066e-05,0,0,-0.00499164,0,0,0,0,0,0,0,0,0,0.372422,0.00289256,0.120406,-3.13386,-6.98827e-05,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.000863197,6.70434e-06,0.00125407,3.87683e-05,-0.00499149,0,0.000878291,6.82157e-06,0.00119204,3.73771e-05,-0.00481237,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0620656,0.000482056,1,0,150,0,0,150,0
1781299487931357,0.00776672,-0.353656,1.81998,0,0.968012,3.49066e-05,0,0,-0.00352557,0,0,0,0,0,0,0,0,0,0.372429,0.00289261,0.12041,-3.13386,-5.24744e-05,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.000609655,4.73511e-06,0.000885755,2.73818e-05,-0.00352546,0,0.000824564,6.40428e-06,0.00113079,3.5378e-05,-0.00455499,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0706923,0.000549058,1,0,150,0,0,150,0
1781299487936480,0.00776672,-0.353656,1.81998,0,0.968012,3.49066e-05,0,0,-0.00282743,0,0,0,0,0,0,0,0,0,0.372429,0.00289261,0.12041,-3.13386,-5.24744e-05,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.000488932,3.79747e-06,0.000710358,2.19596e-05,-0.00282735,0,0.000757438,5.88292e-06,0.0010467,3.26943e-05,-0.00420946,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0767015,0.000595731,1,0,150,0,0,150,0
1781299487941638,0.00776672,-0.353656,1.81996,0,0.968012,3.49066e-05,0,0,-0.00179769,0,0,0,0,0,0,0,0,0,0.372437,0.00289267,0.120415,-3.13386,-3.49283e-05,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.000310856,2.41438e-06,0.000451653,1.3962e-05,-0.00179763,0,0.000668121,5.18921e-06,0.000927691,2.89479e-05,-0.0037271,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0799939,0.000621302,1,0,150,0,0,150,0
1781299487946625,0.00776672,-0.353656,1.81996,0,0.968012,3.49066e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372437,0.00289267,0.120415,-3.13386,-3.49283e-05,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000534497,4.15137e-06,0.000742153,2.31583e-05,-0.00298168,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0800191,0.000621498,1,0,150,0,0,150,0
1781299487951749,0.00776672,-0.353656,1.81996,0,0.968012,3.49066e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.372437,0.00289267,0.120415,-3.13386,-3.49283e-05,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000427598,3.3211e-06,0.000593722,1.85266e-05,-0.00238534,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.077796,0.000604231,1,0,150,0,0,150,0
