Time_us,Q1,Q2,Q3,Q4,Q5,Q6,Qdot_a1,Qdot_a2,Qdot_a3,Qdot_a4,Qdot_a5,Qdot_a6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,FT1,FT2,FT3,FT4,FT5,FT6,F_cmd1,F_cmd2,F_cmd3,F_cmd4,F_cmd5,F_cmd6,F_cmd_xy,v_meas1,v_meas2,v_meas3,v_meas4,v_meas5,v_meas6,v_meas_lpf1,v_meas_lpf2,v_meas_lpf3,v_meas_lpf4,v_meas_lpf5,v_meas_lpf6,vel1,vel2,vel3,vel4,vel5,vel6,c_des1,c_des2,Cd1,Cd2,Cd3,Cd4,Cd5,Cd6
1781015485042251,0.00771436,-0.353883,1.81977,1.74533e-05,0.968012,-5.23599e-05,0,-0.00411898,-0.00705113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00185932,1.43438e-05,0.000237068,2.26194e-05,-0.00293207,0,0.000371864,2.86875e-06,4.74137e-05,4.52389e-06,-0.000586413,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781015485047048,0.00771436,-0.3539,1.81975,1.74533e-05,0.968012,-5.23599e-05,0,-0.00321141,-0.00481711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133198,1.02755e-05,1.38788e-05,1.23868e-05,-0.00160565,0,0.000563887,4.35011e-06,4.07067e-05,6.09648e-06,-0.000790262,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781015485052237,0.00771436,-0.353918,1.81973,1.74533e-05,0.968012,-5.23599e-05,0,-0.00261799,-0.00329867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000977191,7.53855e-06,-0.000146556,5.25094e-06,-0.000680658,0,0.000646548,4.9878e-06,3.25409e-06,5.92737e-06,-0.000768341,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781015485057331,0.00771436,-0.353918,1.81972,1.74533e-05,0.968012,-5.23599e-05,0,-0.00219911,-0.00286234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000836653,6.45436e-06,-0.000100129,5.1163e-06,-0.000663205,0,0.000684569,5.28111e-06,-1.74224e-05,5.76516e-06,-0.000747314,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781015485062448,0.00771436,-0.353935,1.81972,1.74533e-05,0.968012,-5.23599e-05,0,0,-0.00185005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000319926,2.46807e-06,0.000464797,1.42718e-05,-0.00184999,0,0.00061164,4.7185e-06,7.90214e-05,7.46649e-06,-0.00096785,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781015485067461,0.00771436,-0.353935,1.8197,3.49066e-05,0.968012,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000489312,3.7748e-06,6.32171e-05,5.97319e-06,-0.00077428,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781015485072455,0.00771436,-0.353935,1.8197,3.49066e-05,0.968012,-5.23599e-05,0,0,-0.00205949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000356135,2.74741e-06,0.000517421,1.58875e-05,-0.00205943,0,0.000462677,3.56932e-06,0.000154058,7.95605e-06,-0.00103131,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781015485077588,0.00771436,-0.353935,1.81968,3.49066e-05,0.968012,-5.23599e-05,0,0,-0.00165806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000286712,2.21184e-06,0.000416573,1.27908e-05,-0.00165801,0,0.000427484,3.29783e-06,0.000206561,8.92299e-06,-0.00115665,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781015485082574,0.00771436,-0.353935,1.81968,3.49066e-05,0.968012,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000341987,2.63826e-06,0.000165249,7.13839e-06,-0.00092532,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781015485087701,0.00771436,-0.353935,1.81968,3.49066e-05,0.968012,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00027359,2.11061e-06,0.000132199,5.71071e-06,-0.000740256,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
1781015485092698,0.00771436,-0.353935,1.81966,3.49066e-05,0.968012,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000218872,1.68849e-06,0.000105759,4.56857e-06,-0.000592205,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100
