Time_us,Q1,Q2,Q3,Q4,Q5,Q6,Qdot_a1,Qdot_a2,Qdot_a3,Qdot_a4,Qdot_a5,Qdot_a6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,X,Y,Z,Rx,Ry,Rz,FT1,FT2,FT3,FT4,FT5,FT6,F_cmd1,F_cmd2,F_cmd3,F_cmd4,F_cmd5,F_cmd6,v_meas1,v_meas2,v_meas3,v_meas4,v_meas5,v_meas6,v_lpf1,v_lpf2,v_lpf3,v_lpf4,v_lpf5,v_lpf6,vel1,vel2,vel3,vel4,vel5,vel6,bd_desired,bd_applied,beta_hat,K_hat,curvature_hat,target_curvature,gamma1,gamma2,intended_acc_x,intended_acc_y,intended_force_x,intended_force_y,intended_dir_x,intended_dir_y,B11,B12,B21,B22,indirect_ready
1781299753754320,0.00774926,-0.353988,1.81966,1.74533e-05,0.968012,0,0,-0.00188496,0,0,0,0,0,0,0,0,0,0,0.372531,0.00289035,0.120366,-3.13385,-6.99312e-05,3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0.000292848,2.2694e-06,-0.000702258,-1.46069e-05,0.0018849,0,5.85697e-05,4.53881e-07,-0.000140452,-2.92137e-06,0.00037698,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.00122996,9.5315e-06,1,0,150,0,0,150,0
1781299753759265,0.00774926,-0.354005,1.81966,1.74533e-05,0.968012,0,0,-0.00223402,0,0,0,0,0,0,0,0,0,0,0.37253,0.00289034,0.120359,-3.13385,-8.74251e-05,3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0.000347065,2.68955e-06,-0.000832311,-1.73118e-05,0.00223395,0,0.000116269,9.01015e-07,-0.000278823,-5.79947e-06,0.000748375,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.00349941,2.71184e-05,1,0,150,0,0,150,0
1781299753764251,0.00774926,-0.354005,1.81966,1.74533e-05,0.968012,0,0,-0.00162316,0,0,0,0,0,0,0,0,0,0,0.37253,0.00289034,0.120359,-3.13385,-8.74251e-05,3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0.000252164,1.95413e-06,-0.000604726,-1.25781e-05,0.00162311,0,0.000143448,1.11164e-06,-0.000344004,-7.1552e-06,0.000923321,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0060219,4.66662e-05,1,0,150,0,0,150,0
1781299753769475,0.00774926,-0.354023,1.81966,1.74533e-05,0.968012,0,0,-0.00223402,0,0,0,0,0,0,0,0,0,0,0.372528,0.00289033,0.120353,-3.13385,-0.000104874,3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0.00034705,2.68944e-06,-0.000832317,-1.73118e-05,0.00223395,0,0.000184168,1.4272e-06,-0.000441667,-9.18653e-06,0.00118545,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.00904637,7.01041e-05,1,0,150,0,0,150,0
1781299753774389,0.00774926,-0.354023,1.81966,1.74533e-05,0.968012,0,0,-0.00169297,0,0,0,0,0,0,0,0,0,0,0.372528,0.00289033,0.120353,-3.13385,-0.000104874,3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0.000262999,2.03809e-06,-0.00063074,-1.31191e-05,0.00169292,0,0.000199934,1.54938e-06,-0.000479481,-9.97305e-06,0.00128694,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0119785,9.28264e-05,1,0,150,0,0,150,0
1781299753779516,0.00774926,-0.35404,1.81966,1.74533e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372527,0.00289032,0.120346,-3.13385,-0.000122298,3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000159948,1.2395e-06,-0.000383585,-7.97844e-06,0.00102955,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0136604,0.00010586,1,0,150,0,0,150,0
1781299753784458,0.00774926,-0.35404,1.81966,3.49066e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372527,0.00289377,0.120346,-3.13386,-0.000122298,3.14156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000127958,9.91601e-07,-0.000306868,-6.38275e-06,0.000823643,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0144351,0.000111863,1,0,150,0,0,150,0
1781299753789597,0.00774926,-0.35404,1.81966,3.49066e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372527,0.00289377,0.120346,-3.13386,-0.000122298,3.14156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000102366,7.9328e-07,-0.000245494,-5.1062e-06,0.000658914,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0145639,0.000112861,1,0,150,0,0,150,0
1781299753794764,0.00774926,-0.35404,1.81966,3.49066e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372527,0.00289377,0.120346,-3.13386,-0.000122298,3.14156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18932e-05,6.34624e-07,-0.000196396,-4.08496e-06,0.000527132,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0142447,0.000110388,1,0,150,0,0,150,0
1781299753799754,0.00774926,-0.35404,1.81966,3.49066e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372527,0.00289377,0.120346,-3.13386,-0.000122298,3.14156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55145e-05,5.077e-07,-0.000157116,-3.26797e-06,0.000421705,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0136262,0.000105595,1,0,150,0,0,150,0
