Time_us,Q1,Q2,Q3,Q4,Q5,Q6,Qdot_a1,Qdot_a2,Qdot_a3,Qdot_a4,Qdot_a5,Qdot_a6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,X,Y,Z,Rx,Ry,Rz,FT1,FT2,FT3,FT4,FT5,FT6,F_cmd1,F_cmd2,F_cmd3,F_cmd4,F_cmd5,F_cmd6,v_meas1,v_meas2,v_meas3,v_meas4,v_meas5,v_meas6,v_lpf1,v_lpf2,v_lpf3,v_lpf4,v_lpf5,v_lpf6,vel1,vel2,vel3,vel4,vel5,vel6,bd_desired,bd_applied,beta_hat,K_hat,curvature_hat,target_curvature,gamma1,gamma2,intended_acc_x,intended_acc_y,intended_force_x,intended_force_y,intended_dir_x,intended_dir_y,B11,B12,B21,B22,indirect_ready
1781298841515058,0.00797615,-0.353674,1.82012,0,0.968012,0.000191986,0,-0.00169297,-0.0124617,0,0,0,0,0,0,0,0,0,0.37237,0.00297014,0.120369,-3.13381,-0.00020951,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.00241843,1.92902e-05,0.00249998,8.58917e-05,-0.0107683,0,0.000483687,3.85804e-06,0.000499997,1.71784e-05,-0.00215367,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0101574,8.10189e-05,1,0,150,0,0,150,0
1781298841520058,0.00797615,-0.353674,1.82008,0,0.968012,0.000191986,0,0,-0.00881391,0,0,0,0,0,0,0,0,0,0.372384,0.00297026,0.120377,-3.13381,-0.000174578,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.00152441,1.21592e-05,0.0022142,7.03004e-05,-0.00881363,0,0.000691831,5.51827e-06,0.000842838,2.78028e-05,-0.00348566,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0232638,0.00018556,1,0,150,0,0,150,0
1781298841525050,0.00797615,-0.353674,1.82005,0,0.968012,0.000191986,0,0,-0.00626573,0,0,0,0,0,0,0,0,0,0.372399,0.00297037,0.120386,-3.13381,-0.00013965,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.00108363,8.6434e-06,0.00157409,4.99759e-05,-0.00626553,0,0.000770191,6.14329e-06,0.000989089,3.22374e-05,-0.00404163,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0361809,0.00028859,1,0,150,0,0,150,0
1781298841530326,0.00797615,-0.353674,1.82003,0,0.968012,0.000191986,0,0,-0.00542797,0,0,0,0,0,0,0,0,0,0.372406,0.00297043,0.12039,-3.13381,-0.000122271,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.000938721,7.48755e-06,0.00136365,4.32939e-05,-0.0054278,0,0.000803897,6.41214e-06,0.001064,3.44487e-05,-0.00431887,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0479974,0.000382842,1,0,150,0,0,150,0
1781298841535129,0.00797615,-0.353674,1.82001,0,0.968012,0.000191986,0,0,-0.00472984,0,0,0,0,0,0,0,0,0,0.372413,0.00297049,0.120395,-3.13381,-0.000104751,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.000817965,6.52435e-06,0.00118827,3.77256e-05,-0.00472969,0,0.000806711,6.43458e-06,0.00108886,3.51041e-05,-0.00440103,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0582186,0.000464371,1,0,150,0,0,150,0
1781298841540304,0.00797615,-0.353674,1.82001,0,0.968012,0.000191986,0,0,-0.00338594,0,0,0,0,0,0,0,0,0,0.372413,0.00297049,0.120395,-3.13381,-0.000104751,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.000585554,4.67057e-06,0.000850645,2.70065e-05,-0.00338583,0,0.000762479,6.08178e-06,0.00104121,3.34845e-05,-0.00419799,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0660801,0.000527076,1,0,150,0,0,150,0
1781298841545247,0.00797615,-0.353674,1.81999,0,0.968012,0.000191986,0,0,-0.00256563,0,0,0,0,0,0,0,0,0,0.37242,0.00297054,0.120399,-3.13381,-8.73096e-05,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.000443682,3.53895e-06,0.000644569,2.04637e-05,-0.00256555,0,0.00069872,5.57322e-06,0.000961884,3.08804e-05,-0.0038715,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.071502,0.000570323,1,0,150,0,0,150,0
1781298841550424,0.00797615,-0.353674,1.81998,0,0.968012,0.000191986,0,0,-0.00246091,0,0,0,0,0,0,0,0,0,0.372427,0.0029706,0.120404,-3.13381,-6.99312e-05,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.000425561,3.39442e-06,0.000618267,1.96284e-05,-0.00246084,0,0.000644088,5.13746e-06,0.000893161,2.863e-05,-0.00358937,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0750175,0.000598364,1,0,150,0,0,150,0
1781298841555368,0.00797615,-0.353674,1.81998,0,0.968012,0.000191986,0,0,0,0,0,0,0,0,0,0,0,0,0.372427,0.0029706,0.120404,-3.13381,-6.99312e-05,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00051527,4.10996e-06,0.000714529,2.2904e-05,-0.0028715,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0753357,0.000600902,1,0,150,0,0,150,0
1781298841560545,0.00797615,-0.353674,1.81998,0,0.968012,0.000191986,0,0,0,0,0,0,0,0,0,0,0,0,0.372427,0.0029706,0.120404,-3.13381,-6.99312e-05,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000412216,3.28797e-06,0.000571623,1.83232e-05,-0.0022972,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0734453,0.000585823,1,0,150,0,0,150,0
1781298841565559,0.00797615,-0.353674,1.81998,0,0.968012,0.000191986,0,0,0,0,0,0,0,0,0,0,0,0,0.372427,0.0029706,0.120404,-3.13381,-6.99312e-05,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000329773,2.63038e-06,0.000457298,1.46586e-05,-0.00183776,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0700882,0.000559046,1,0,150,0,0,150,0
1781298841570666,0.00797615,-0.353674,1.81998,0,0.968012,0.000191986,0,0,0,0,0,0,0,0,0,0,0,0,0.372427,0.0029706,0.120404,-3.13381,-6.99312e-05,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000263819,2.1043e-06,0.000365839,1.17268e-05,-0.00147021,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.065816,0.00052497,1,0,150,0,0,150,0
1781298841575807,0.00797615,-0.353674,1.81998,0,0.968012,0.000191986,0,0,0,0,0,0,0,0,0,0,0,0,0.372427,0.0029706,0.120404,-3.13381,-6.99312e-05,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000211055,1.68344e-06,0.000292671,9.38147e-06,-0.00117617,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0610339,0.000486826,1,0,150,0,0,150,0
1781298841580805,0.00797615,-0.353674,1.81998,0,0.968012,0.000191986,0,0,0,0,0,0,0,0,0,0,0,0,0.372427,0.0029706,0.120404,-3.13381,-6.99312e-05,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000168844,1.34675e-06,0.000234137,7.50518e-06,-0.000940932,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0560349,0.000446953,1,0,150,0,0,150,0
1781298841585953,0.00797615,-0.353691,1.81998,0,0.968029,0.000174533,0,0,0,0,0,0,0,0,0,0,0,0,0.372422,0.00297056,0.120397,-3.13379,-0.000104789,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000135075,1.0774e-06,0.000187309,6.00414e-06,-0.000752746,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0510266,0.000407005,1,0,150,0,0,150,0
1781298841590904,0.00797615,-0.353691,1.81996,0,0.968029,0.000174533,0,0,0,0,0,0,0,0,0,0,0,0,0.372429,0.00297061,0.120401,-3.13379,-8.7209e-05,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00010806,8.61922e-07,0.000149848,4.80331e-06,-0.000602197,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0461521,0.000368124,1,0,150,0,0,150,0
1781298841596080,0.00797615,-0.353691,1.81996,0,0.968029,0.000174533,0,0,0,0,0,0,0,0,0,0,0,0,0.372429,0.00297061,0.120401,-3.13379,-8.7209e-05,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.64481e-05,6.89538e-07,0.000119878,3.84265e-06,-0.000481757,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0415062,0.000331067,1,0,150,0,0,150,0
1781298841601012,0.00797615,-0.353691,1.81996,0,0.968029,0.000174533,0,0,0,0,0,0,0,0,0,0,0,0,0.372429,0.00297061,0.120401,-3.13379,-8.7209e-05,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91585e-05,5.5163e-07,9.59024e-05,3.07412e-06,-0.000385406,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0371477,0.000296302,1,0,150,0,0,150,0
1781298841606182,0.00797615,-0.353691,1.81996,0,0.968029,0.000174533,0,0,0,0,0,0,0,0,0,0,0,0,0.372429,0.00297061,0.120401,-3.13379,-8.7209e-05,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53268e-05,4.41304e-07,7.6722e-05,2.4593e-06,-0.000308325,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0331089,0.000264087,1,0,150,0,0,150,0
1781298841611184,0.00797615,-0.353691,1.81996,0,0.968029,0.000174533,0,0,0,0,0,0,0,0,0,0,0,0,0.372429,0.00297061,0.120401,-3.13379,-8.7209e-05,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42614e-05,3.53043e-07,6.13776e-05,1.96744e-06,-0.00024666,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0294031,0.000234529,1,0,150,0,0,150,0
1781298841616310,0.00797615,-0.353691,1.81996,0,0.968029,0.000174533,0,0,0,0,0,0,0,0,0,0,0,0,0.372429,0.00297061,0.120401,-3.13379,-8.7209e-05,-3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54091e-05,2.82435e-07,4.91021e-05,1.57395e-06,-0.000197328,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0260303,0.000207626,1,0,150,0,0,150,0
