Time_us,Q1,Q2,Q3,Q4,Q5,Q6,Qdot_a1,Qdot_a2,Qdot_a3,Qdot_a4,Qdot_a5,Qdot_a6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,X,Y,Z,Rx,Ry,Rz,FT1,FT2,FT3,FT4,FT5,FT6,F_cmd1,F_cmd2,F_cmd3,F_cmd4,F_cmd5,F_cmd6,v_meas1,v_meas2,v_meas3,v_meas4,v_meas5,v_meas6,vel1,vel2,vel3,vel4,vel5,vel6,rf1,rf2,rf3,F_exp1,F_exp2,F_exp3,beta,Ci11,Ci12,Ci13,Ci21,Ci22,Ci23,Ci31,Ci32,Ci33,Mi_inv11,Mi_inv12,Mi_inv13,Mi_inv21,Mi_inv22,Mi_inv23,Mi_inv31,Mi_inv32,Mi_inv33
1781298894852983,0.00776672,-0.353796,1.82026,0,0.968012,0,0,-0.00518363,-0.00886627,0,0,0,0,0,0,0,0,0,0.372302,0.00289162,0.120288,-3.13383,-0.000471272,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.00233906,1.81671e-05,0.000296379,2.86018e-05,-0.00368253,0,0,0,0,0,0,0,0,0,0,0.00943131,0,0,1.00472,20,0,0,0,20.0943,0,0,0,20.0943,0.1,0,0,0,0.0995306,0,0,0,0.0995306
1781298894857917,0.00776672,-0.353831,1.82022,0,0.968012,0,0,-0.00525344,-0.006353,0,0,0,0,0,0,0,0,0,0.372314,0.00289171,0.120284,-3.13383,-0.000471328,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.001915,1.48736e-05,-0.000360929,8.53986e-06,-0.00109952,0,0,0,0,0,0,0,104.129,-13406.8,3.94992e-05,0.0176606,0.000137168,0.0764309,1.00758,20.1439,-5.96493e-05,-0.0332403,-5.96493e-05,20.1515,-0.000258171,-0.0332398,-0.000258171,20.0077,0.0992861,2.95928e-07,0.000164954,2.95986e-07,0.099248,1.28117e-06,0.00016495,1.28117e-06,0.0999619
1781298894862937,0.00776672,-0.353848,1.8202,0,0.968012,0,0,-0.00364774,-0.00499164,0,0,0,0,0,0,0,0,0,0.37232,0.00289176,0.120282,-3.13383,-0.00047135,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.00143011,1.11075e-05,-0.00010485,1.04376e-05,-0.00134386,0,0,0,0,0,0,0,88.6349,-11411.9,-1.75679e-05,0.0219915,0.000170805,0.0900517,1.00893,20.1685,-7.80523e-05,-0.0411515,-7.80672e-05,20.1786,-0.000319612,-0.041151,-0.000319615,20.01,0.0991649,3.8679e-07,0.000203934,3.8679e-07,0.0991151,1.58393e-06,0.000203932,1.58391e-06,0.0999502
1781298894868054,0.00776672,-0.353848,1.82019,0,0.968012,0,0,-0.0021293,-0.00359538,0,0,0,0,0,0,0,0,0,0.372327,0.00289181,0.120286,-3.13383,-0.000453908,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.000952731,7.39974e-06,0.000109994,1.13865e-05,-0.00146603,0,0,0,0,0,0,0,59.0995,-7609.18,-1.40543e-05,0.0188111,0.000146104,0.0619813,1.00904,20.1656,-0.000118464,-0.0502496,-0.000118464,20.1808,-0.000390272,-0.0502496,-0.00039028,20.0153,0.0991796,5.86908e-07,0.000248995,5.86908e-07,0.099104,1.93392e-06,0.000248995,1.93392e-06,0.0999244
1781298894873138,0.00776672,-0.353848,1.82019,0,0.968012,0,0,0,-0.00207694,0,0,0,0,0,0,0,0,0,0.372327,0.00289181,0.120286,-3.13383,-0.000453908,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.000359363,2.79113e-06,0.000521662,1.61309e-05,-0.00207688,0,0,0,0,0,0,0,2.1545,-277.396,-1.12434e-05,0.0156886,0.000121851,0.00368302,1.00801,20.0084,-0.00117895,-0.0356355,-0.00117895,20.1602,-0.000276772,-0.035635,-0.000276772,20.1518,0.0999585,5.84801e-06,0.000176758,5.84807e-06,0.0992056,1.37284e-06,0.000176758,1.37286e-06,0.099247
1781298894878147,0.00776672,-0.353848,1.82019,0,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372322,0.00289178,0.120286,-3.13383,-0.000471335,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7236,-221.917,-3.2253e-05,0.0126122,9.79573e-05,0.00243769,1.00641,20.0046,-0.000959322,-0.0238729,-0.000959322,20.1281,-0.000185416,-0.0238729,-0.000185418,20.1235,0.099977,4.76604e-06,0.000118606,4.76599e-06,0.0993635,9.21175e-07,0.000118604,9.21175e-07,0.0993863
1781298894883077,0.00776672,-0.353848,1.82019,0,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372322,0.00289178,0.120286,-3.13383,-0.000471335,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37888,-177.533,-2.58024e-05,0.0101212,7.86097e-05,0.00168968,1.00513,20.0028,-0.000774562,-0.0166488,-0.000774562,20.1025,-0.000129311,-0.0166486,-0.000129311,20.0997,0.0999861,3.85294e-06,8.28187e-05,3.853e-06,0.0994901,6.43236e-07,8.28205e-05,6.43236e-07,0.0995039
1781298894888244,0.00776672,-0.353866,1.82019,0,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372321,0.00289177,0.12028,-3.13383,-0.000488825,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1031,-142.027,1.56991e-05,0.008113,6.30127e-05,0.00121839,1.0041,20.0018,-0.000622869,-0.012043,-0.000622854,20.082,-9.35399e-05,-0.012043,-9.3538e-05,20.0802,0.099991,3.10148e-06,5.99698e-05,3.10142e-06,0.0995917,4.65771e-07,5.99707e-05,4.65778e-07,0.0996007
1781298894893247,0.00776672,-0.353866,1.82017,0,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372328,0.00289183,0.120284,-3.13383,-0.000471301,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.882481,-113.621,-3.2867e-05,0.00649863,5.0474e-05,0.000906431,1.00328,20.0013,-0.000499815,-0.00897579,-0.000499815,20.0656,-6.97154e-05,-0.00897579,-6.97154e-05,20.0644,0.0999937,2.49071e-06,4.47284e-05,2.49076e-06,0.0996731,3.47403e-07,4.47293e-05,3.47396e-07,0.0996793
1781298894898367,0.00776672,-0.353866,1.82017,0,0.968029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372328,0.00289183,0.120284,-3.13383,-0.000471301,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.705999,-90.8975,-8.30764e-05,0.00520312,4.04119e-05,0.000690187,1.00262,20.0009,-0.000400588,-0.00684133,-0.000400573,20.0525,-5.31348e-05,-0.00684156,-5.31367e-05,20.0516,0.0999955,1.99763e-06,3.41174e-05,1.99769e-06,0.0997383,2.6499e-07,3.41174e-05,2.64983e-07,0.0997428
