Time_us,Q1,Q2,Q3,Q4,Q5,Q6,Qdot_a1,Qdot_a2,Qdot_a3,Qdot_a4,Qdot_a5,Qdot_a6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,X,Y,Z,Rx,Ry,Rz,FT1,FT2,FT3,FT4,FT5,FT6,F_cmd1,F_cmd2,F_cmd3,F_cmd4,F_cmd5,F_cmd6,v_meas1,v_meas2,v_meas3,v_meas4,v_meas5,v_meas6,v_lpf1,v_lpf2,v_lpf3,v_lpf4,v_lpf5,v_lpf6,vel1,vel2,vel3,vel4,vel5,vel6,bd_desired,bd_applied,beta_hat,K_hat,curvature_hat,target_curvature,gamma1,gamma2,intended_acc_x,intended_acc_y,intended_force_x,intended_force_y,intended_dir_x,intended_dir_y,B11,B12,B21,B22,indirect_ready
1781298979097154,0.00780162,-0.353674,1.82029,0,0.968012,0,0,0,-0.00963422,0,0,0,0,0,0,0,0,0,0.372298,0.00290459,0.120325,-3.13379,-0.000384007,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.00166679,1.30039e-05,0.00241993,7.51618e-05,-0.00963392,0,0.000333358,2.60079e-06,0.000483985,1.50324e-05,-0.00192678,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.00700052,5.46165e-05,1,0,150,0,0,150,0
1781298979102139,0.00780162,-0.353674,1.82026,0,0.968012,0,0,0,-0.0087441,0,0,0,0,0,0,0,0,0,0.372313,0.0029047,0.120334,-3.13379,-0.000349138,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.00151272,1.18019e-05,0.0021964,6.82175e-05,-0.00874383,0,0.00056923,4.44101e-06,0.000826468,2.56694e-05,-0.00329019,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0179743,0.000140231,1,0,150,0,0,150,0
1781298979107167,0.00780162,-0.353674,1.8202,0,0.968012,0,0,0,-0.00827286,0,0,0,0,0,0,0,0,0,0.372334,0.00290487,0.120347,-3.13379,-0.000296742,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.00143108,1.1165e-05,0.00207811,6.45411e-05,-0.00827261,0,0.000741601,5.78581e-06,0.0010768,3.34437e-05,-0.00428668,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0310315,0.000242101,1,0,150,0,0,150,0
1781298979112283,0.00780162,-0.353674,1.82019,0,0.968012,0,0,0,-0.00710349,0,0,0,0,0,0,0,0,0,0.372341,0.00290493,0.120351,-3.13379,-0.000279363,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.00122877,9.58659e-06,0.00178439,5.54182e-05,-0.00710327,0,0.000839035,6.54596e-06,0.00121831,3.78386e-05,-0.00485,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0443068,0.000345672,1,0,150,0,0,150,0
1781298979117185,0.00780162,-0.353674,1.82015,0,0.968012,0,0,0,-0.0053058,0,0,0,0,0,0,0,0,0,0.372356,0.00290504,0.12036,-3.13379,-0.000244435,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.000917756,7.16013e-06,0.00133284,4.13934e-05,-0.00530564,0,0.000854779,6.6688e-06,0.00124122,3.85496e-05,-0.00494113,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0560542,0.000437322,1,0,150,0,0,150,0
1781298979122339,0.00780162,-0.353674,1.82015,0,0.968029,0,0,0,-0.00280998,0,0,0,0,0,0,0,0,0,0.372352,0.00290501,0.12036,-3.13379,-0.000261892,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.000486049,3.79204e-06,0.00070588,2.19222e-05,-0.00280989,0,0.000781033,6.09345e-06,0.00113415,3.52241e-05,-0.00451488,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0646083,0.000504059,1,0,150,0,0,150,0
1781298979127499,0.00780162,-0.353674,1.82013,0,0.968029,0,0,0,-0.00282743,0,0,0,0,0,0,0,0,0,0.372359,0.00290506,0.120364,-3.13379,-0.000244513,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.000489055,3.8155e-06,0.000710273,2.20583e-05,-0.00282735,0,0.000722637,5.63786e-06,0.00104938,3.25909e-05,-0.00417737,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0707385,0.000551886,1,0,150,0,0,150,0
1781298979132508,0.00780162,-0.353674,1.82013,0,0.968029,0,0,0,-0.00195477,0,0,0,0,0,0,0,0,0,0.372359,0.00290506,0.120364,-3.13379,-0.000244513,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.000338112,2.63788e-06,0.000491053,1.52502e-05,-0.00195471,0,0.000645732,5.03786e-06,0.000937711,2.91228e-05,-0.00373284,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0743954,0.000580417,1,0,150,0,0,150,0
1781298979137648,0.00780162,-0.353674,1.82012,0,0.968029,0,0,0,-0.00240855,0,0,0,0,0,0,0,0,0,0.372366,0.00290512,0.120369,-3.13379,-0.000226937,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.000416592,3.25016e-06,0.000605054,1.87904e-05,-0.00240848,0,0.000599904,4.68032e-06,0.00087118,2.70563e-05,-0.00346797,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0765781,0.000597445,1,0,150,0,0,150,0
1781298979142607,0.00780162,-0.353674,1.82012,0,0.968029,0,0,0,-0.00169297,0,0,0,0,0,0,0,0,0,0.372366,0.00290512,0.120369,-3.13379,-0.000226937,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0.000292822,2.28453e-06,0.000425292,1.32078e-05,-0.00169292,0,0.000538488,4.20117e-06,0.000782002,2.42866e-05,-0.00311296,0,0,0,0,0,0,0,150,150,0.333333,0,0,0,1,1,0,0,0.0771654,0.000602027,1,0,150,0,0,150,0
