Time,Q1,Q2,Q3,Q4,Q5,Q6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,x,y,z,xdot,ydot,zdot,FT1,FT2,FT3,FT4,FT5,FT6,handle_pos1,handle_pos2,mag11, mag12, mag21,mag22,f1,f2, dxl_pos1, dxl_pos2
22:33:27:225080,-0.523058,-0.17455,1.65761,0,1.29186,1.83284,0.00352494,0.00808653,0.00656987,-6.42465e-05,0.00151666,0.00354208,0.311551,-0.179642,0.230918,-0.00168527,0.00241795,0.000938399,4.34,-2.8,-2.03,0.11,-0.123,0.129,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:230067,-0.523058,-0.17455,1.65761,0,1.29186,1.83282,0.00649187,0.0144129,0.0112125,-0.00011868,0.0032004,0.00652354,0.311557,-0.179653,0.230908,-0.00293253,0.00435447,0.00181903,4.34,-2.8,-2.03,0.11,-0.123,0.129,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:235070,-0.523058,-0.17455,1.65761,0,1.29186,1.83282,0.00916208,0.0201066,0.0153908,-0.000167495,0.00471576,0.00920678,0.311557,-0.179653,0.230908,-0.00405511,0.00609732,0.0026116,4.29,-2.7,-1.86,0.113,-0.111,0.118,0.002,0,0.00693071,0.00293071,0.00501208,0.00501208,-8.17782,0,353,358
22:33:27:240236,-0.523058,-0.174515,1.65763,0,1.29186,1.83282,0.0115747,0.02501,0.0191699,-0.0002116,0.00584006,0.0116311,0.311557,-0.179653,0.230908,-0.00501413,0.00764015,0.0032409,4.29,-2.7,-1.86,0.113,-0.111,0.118,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:245194,-0.523058,-0.174463,1.65766,0,1.29186,1.83284,0.0137464,0.029423,0.02257,-0.000251549,0.00685295,0.0138135,0.311551,-0.17965,0.230915,-0.00587727,0.00902871,0.00380724,4.63,-2.22,-1.75,0.092,-0.113,0.123,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:250312,-0.523058,-0.174376,1.65773,1.74533e-05,1.29186,1.83287,0.0164533,0.0330124,0.0253473,-0.000301383,0.00766509,0.0165337,0.31154,-0.179643,0.230923,-0.00641329,0.010448,0.00426407,4.63,-2.22,-1.75,0.092,-0.113,0.123,0.002,0,0.00693071,0.00293071,0.00501208,0.00501208,-8.17782,0,353,358
22:33:27:255334,-0.523058,-0.174254,1.65782,1.74533e-05,1.29186,1.83291,0.0188907,0.0362429,0.0278448,-0.000346413,0.00839772,0.0189833,0.311521,-0.179628,0.230934,-0.00689564,0.0117255,0.00467521,4.43,-1.97,-1.47,0.094,-0.112,0.13,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:260440,-0.52304,-0.174114,1.65794,1.74533e-05,1.29189,1.83298,0.0210177,0.0386034,0.0298963,-0.000386176,0.00870665,0.0211209,0.311494,-0.179612,0.230952,-0.00720256,0.012774,0.00490798,4.43,-1.97,-1.47,0.094,-0.112,0.13,0.002,0,0.00693071,0.00293071,0.00501208,0.00501208,-8.17782,0,353,358
22:33:27:265443,-0.523023,-0.173957,1.6581,1.74533e-05,1.29191,1.83305,0.022934,0.0407274,0.0317401,-0.00042097,0.00898691,0.0230465,0.311453,-0.179581,0.230965,-0.00747865,0.0137178,0.00511751,4.08,-2.3,-1.47,0.119,-0.104,0.123,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:270556,-0.523005,-0.1738,1.65827,1.74533e-05,1.29193,1.83314,0.0240017,0.0427921,0.033585,-0.00044013,0.00920668,0.0241192,0.311406,-0.179547,0.230975,-0.00789199,0.0143922,0.00530514,4.08,-2.3,-1.47,0.119,-0.104,0.123,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:275553,-0.52297,-0.173625,1.65846,1.74533e-05,1.29195,1.83322,0.0249638,0.0446502,0.0352435,-0.000456857,0.00940622,0.0250859,0.311354,-0.179509,0.230979,-0.00826382,0.0149992,0.00547408,4.01,-2.4,-1.6,0.116,-0.0779999,0.116,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:280705,-0.522936,-0.173398,1.65871,1.74533e-05,1.29198,1.83329,0.0256763,0.0464445,0.0366616,-0.000468965,0.00978248,0.0258016,0.311299,-0.179463,0.230984,-0.00864933,0.0155111,0.00569073,4.01,-2.4,-1.6,0.116,-0.0779999,0.116,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:285824,-0.522883,-0.173172,1.65899,1.74533e-05,1.29201,1.8334,0.02632,0.0480596,0.0379331,-0.000479282,0.010126,0.026448,0.311226,-0.179407,0.230992,-0.00899619,0.0159719,0.00588583,4.45,-2.05,-1.64,0.087,-0.0799999,0.118,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:290701,-0.522831,-0.172927,1.65925,1.74533e-05,1.29203,1.8335,0.0276849,0.0494133,0.0388842,-0.000501618,0.0105287,0.0278189,0.311146,-0.179339,0.23099,-0.00913348,0.0166068,0.00608233,4.21,-1.28,-1.46,0.1,-0.104,0.115,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:295948,-0.522761,-0.172648,1.65948,1.74533e-05,1.29207,1.83361,0.029164,0.0494751,0.0386261,-0.000527356,0.0108485,0.0293049,0.311074,-0.179275,0.231,-0.00887062,0.0170574,0.0061761,4.21,-1.28,-1.46,0.1,-0.104,0.115,0.002,0,0.00693071,0.00293071,0.00501208,0.00501208,-8.17782,0,353,358
22:33:27:300939,-0.522709,-0.172386,1.65963,1.74533e-05,1.2921,1.83371,0.0304984,0.0495293,0.038389,-0.000552035,0.0111398,0.0306458,0.31101,-0.17921,0.231032,-0.00863398,0.017463,0.00626048,3.61,-1.01,-1.02,0.094,-0.137,0.109,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:305950,-0.522639,-0.172124,1.65979,1.74533e-05,1.29215,1.83385,0.0311565,0.0486685,0.0378113,-0.000566204,0.0108566,0.0313077,0.310963,-0.179161,0.231079,-0.00828271,0.0175261,0.00612099,3.61,-1.01,-1.02,0.094,-0.137,0.109,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:311067,-0.522569,-0.171897,1.65993,1.74533e-05,1.29221,1.83399,0.0317511,0.0478927,0.0372895,-0.000578718,0.0106028,0.0319055,0.310915,-0.179105,0.231126,-0.00796646,0.017583,0.00599539,4.07,-2.02,-0.5,0.041,-0.131,0.12,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:316179,-0.522499,-0.171653,1.66007,3.49066e-05,1.29222,1.83417,0.0321385,0.0485125,0.0393216,-0.000586931,0.00919041,0.032295,0.310873,-0.179051,0.231165,-0.00818262,0.0178621,0.00561264,4.07,-2.02,-0.5,0.041,-0.131,0.12,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:321183,-0.522394,-0.171391,1.66021,3.49066e-05,1.29226,1.83434,0.0324893,0.0490699,0.0411478,-0.00059632,0.00792092,0.0326485,0.31084,-0.178999,0.231211,-0.00837695,0.0181135,0.00526803,3.08,-3.14,-0.27,0.059,-0.0719999,0.117,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:326302,-0.52229,-0.171095,1.66037,3.49066e-05,1.29228,1.83452,0.0308102,0.0501376,0.0438748,-0.000568275,0.00626182,0.0309618,0.310807,-0.178936,0.231263,-0.00911019,0.017844,0.00483848,3.08,-3.14,-0.27,0.059,-0.0719999,0.117,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:331320,-0.522168,-0.17078,1.66054,3.49066e-05,1.29229,1.83471,0.029301,0.0510989,0.046326,-0.000544144,0.00477194,0.0294461,0.310772,-0.178873,0.231322,-0.00977001,0.0176016,0.00445163,3.14,-4.64,-0.41,0.152,-0.053,0.0929999,0.002,0,0.00693071,0.00293071,0.00501208,0.00501208,-8.17782,0,353,358
22:33:27:336437,-0.522063,-0.170449,1.66079,3.49066e-05,1.29231,1.8349,0.0269639,0.0538539,0.0506038,-0.000504159,0.00324918,0.0270983,0.310735,-0.178801,0.231383,-0.0111147,0.0174146,0.00416122,3.14,-4.64,-0.41,0.152,-0.053,0.0929999,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:341418,-0.521958,-0.170117,1.66105,3.49066e-05,1.29233,1.83509,0.0248619,0.0563346,0.054451,-0.000466645,0.00188281,0.0249862,0.310675,-0.178723,0.231429,-0.0123249,0.0172466,0.00389965,4.66,-4.22,-0.74,0.126,-0.104,0.0979998,0.002,0,0.00693071,0.00293071,0.00501208,0.00501208,-8.17782,0,353,358
22:33:27:346551,-0.521871,-0.169821,1.66134,3.49066e-05,1.29233,1.83527,0.0251289,0.0592391,0.0581689,-0.000473028,0.00106926,0.0252549,0.31061,-0.178643,0.231469,-0.0132057,0.0178568,0.00382555,4.66,-4.22,-0.74,0.126,-0.104,0.0979998,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:351590,-0.521801,-0.169524,1.66162,3.49066e-05,1.29235,1.83542,0.0253706,0.0618533,0.0615136,-0.000477569,0.000338831,0.0254978,0.310537,-0.178564,0.231486,-0.0139983,0.0184062,0.00375886,3.54,-2.23,-1.24,0.037,-0.079,0.116,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:356539,-0.521749,-0.16921,1.66192,3.49066e-05,1.29236,1.83556,0.0256156,0.061254,0.0600582,-0.000482178,0.00119497,0.025744,0.310462,-0.178492,0.231509,-0.0137211,0.0183422,0.00396946,3.54,-2.23,-1.24,0.037,-0.079,0.116,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:361660,-0.521679,-0.168878,1.66223,3.49066e-05,1.29236,1.8357,0.0258373,0.0607149,0.0587457,-0.00048635,0.0019684,0.0259668,0.310378,-0.178423,0.231533,-0.0134715,0.0182847,0.004159,2.79,-0.869999,-1.76,-0.024,-0.0619999,0.121,0.002,0,0.00693071,0.00293071,0.00501208,0.00501208,-8.17782,0,353,358
22:33:27:366815,-0.521609,-0.168546,1.6626,3.49066e-05,1.29238,1.83586,0.0260759,0.0582923,0.0543074,-0.000491341,0.00398399,0.0262068,0.310296,-0.178347,0.231558,-0.0125714,0.0178595,0.00460359,2.79,-0.869999,-1.76,-0.024,-0.0619999,0.121,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:371825,-0.521487,-0.168197,1.663,3.49066e-05,1.29238,1.836,0.0262923,0.0561117,0.0503119,-0.000494006,0.00579892,0.026424,0.310196,-0.178261,0.231567,-0.0117611,0.017477,0.00500377,3.5,-1.63,-1.46,-0.000999987,-0.097,0.121,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:376950,-0.521347,-0.167901,1.66337,3.49066e-05,1.29238,1.83616,0.0268286,0.055426,0.0487843,-0.000502631,0.0066407,0.0269626,0.310099,-0.178154,0.231571,-0.0114089,0.0174867,0.00520491,3.5,-1.63,-1.46,-0.000999987,-0.097,0.121,0.002,0,0.00693071,0.00293071,0.00501208,0.00501208,-8.17782,0,353,358
22:33:27:381934,-0.52119,-0.167604,1.66365,3.49066e-05,1.29238,1.8363,0.0273128,0.0548079,0.0474097,-0.000509717,0.00739736,0.0274488,0.310016,-0.178049,0.231568,-0.0110918,0.0174955,0.00538605,3.84,-2.63,-1,0.093,-0.0439999,0.0979998,0.002,0,0.00693071,0.00293071,0.00501208,0.00501208,-8.17782,0,353,358
22:33:27:387059,-0.521033,-0.167325,1.66382,3.49066e-05,1.29243,1.83644,0.0274649,0.0554993,0.0484778,-0.000513045,0.00702056,0.0276017,0.30996,-0.177952,0.23159,-0.0113027,0.0176719,0.00530977,3.84,-2.63,-1,0.093,-0.0439999,0.0979998,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:392054,-0.520911,-0.167045,1.66396,3.49066e-05,1.29247,1.83654,0.0276025,0.0561207,0.0494374,-0.000517113,0.00668235,0.0277403,0.309922,-0.177866,0.231638,-0.0114925,0.0178307,0.00524102,3.25,-1.68,-1.15,0.07,0.00100005,0.0769999,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:397190,-0.520771,-0.166766,1.66414,3.49066e-05,1.29252,1.83664,0.0276687,0.0551978,0.0482361,-0.000521363,0.00696074,0.0278077,0.309892,-0.177798,0.231696,-0.01119,0.0176788,0.00526403,3.25,-1.68,-1.15,0.07,0.00100005,0.0769999,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:402173,-0.520649,-0.166487,1.66436,3.49066e-05,1.29254,1.83678,0.0277305,0.0543666,0.0471533,-0.000524027,0.00721241,0.0278701,0.309851,-0.177717,0.231743,-0.0109178,0.017542,0.00528466,3.09,-0.450001,-0.95,-0.00799996,-0.054,0.0779998,0.002,0,0.00693071,0.00293071,0.00501208,0.00501208,-8.17782,0,353,358
22:33:27:407173,-0.52051,-0.166208,1.66463,3.49066e-05,1.29256,1.83691,0.0284553,0.0519574,0.0444933,-0.000538758,0.00746323,0.0285988,0.3098,-0.177638,0.231775,-0.0100565,0.0173373,0.00521364,3.09,-0.450001,-0.95,-0.00799996,-0.054,0.0779998,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:412310,-0.520352,-0.165928,1.6649,3.49066e-05,1.29256,1.83705,0.0291097,0.0497884,0.042098,-0.000551153,0.00768941,0.0292565,0.309742,-0.177547,0.231796,-0.00928131,0.017153,0.00514973,4.84,-1.95,-0.309999,0.104,-0.148,0.0649998,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:417434,-0.520178,-0.165649,1.66518,3.49066e-05,1.29256,1.83717,0.0308003,0.0505781,0.0443739,-0.000583137,0.00620313,0.0309555,0.309687,-0.17745,0.231812,-0.0093274,0.0178601,0.00475252,4.84,-1.95,-0.309999,0.104,-0.148,0.0649998,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:422424,-0.520003,-0.16537,1.66543,3.49066e-05,1.29259,1.83731,0.0323251,0.0512877,0.0464188,-0.000611992,0.00486783,0.032488,0.309634,-0.177348,0.231828,-0.00936901,0.0184965,0.00439503,6.02,-3.76,-0.389999,0.292,-0.104,0.0569999,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:427546,-0.519846,-0.165108,1.66562,3.49066e-05,1.29261,1.83745,0.0338801,0.0549333,0.0517827,-0.000641405,0.00314943,0.0340507,0.309584,-0.177248,0.231855,-0.0103113,0.0196604,0.00409367,6.02,-3.76,-0.389999,0.292,-0.104,0.0569999,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:432588,-0.519654,-0.164829,1.66581,3.49066e-05,1.29264,1.83764,0.0352814,0.0582141,0.0566077,-0.000669837,0.00160514,0.0354595,0.309549,-0.177163,0.231891,-0.0111595,0.020708,0.00382228,4.92,-2.32,-1.52,0.143,0.00400007,0.099,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:437699,-0.51948,-0.164567,1.66602,3.49066e-05,1.29268,1.83787,0.0362053,0.0591322,0.0565427,-0.000689344,0.00258831,0.0363886,0.309516,-0.177066,0.231933,-0.0112126,0.0211052,0.00415921,4.92,-2.32,-1.52,0.143,0.00400007,0.099,0.002,0,0.00693071,0.00293071,0.00501208,0.00501208,-8.17782,0,353,358
22:33:27:442808,-0.519288,-0.16427,1.6663,3.49066e-05,1.29271,1.83808,0.0370384,0.059958,0.0564824,-0.000705888,0.00347435,0.0372261,0.309475,-0.176971,0.231963,-0.0112603,0.0214627,0.00446241,4.05,-1.62,-2.04,-0.05,-0.071,0.127,0.0019,0,0.00681444,0.00301444,0.00501208,0.00501208,-7.77602,0,352,358
22:33:27:447827,-0.519078,-0.163991,1.66665,3.49066e-05,1.29271,1.83827,0.0372123,0.0594712,0.0540401,-0.00070853,0.00542979,0.0374007,0.309418,-0.176859,0.231985,-0.0109578,0.0213515,0.0050048,4.05,-1.62,-2.04,-0.05,-0.071,0.127,0.0019,0,0.00681444,0.00301444,0.00501208,0.00501208,-7.77602,0,352,358
22:33:27:452809,-0.518869,-0.16366,1.66702,3.49066e-05,1.29271,1.83848,0.0373717,0.0590321,0.0518399,-0.000708874,0.00719096,0.0375603,0.309352,-0.176736,0.23198,-0.0106856,0.0212513,0.00549308,5.25,-2.83,-1.23,-0.00400001,-0.157,0.0999999,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:457929,-0.518677,-0.163328,1.66735,3.49066e-05,1.29271,1.83865,0.0381497,0.060588,0.0536073,-0.000722239,0.00697946,0.0383419,0.30928,-0.176608,0.231989,-0.0110384,0.0217582,0.0055127,5.25,-2.83,-1.23,-0.00400001,-0.157,0.0999999,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:463055,-0.518485,-0.162979,1.66759,3.49066e-05,1.29273,1.83883,0.0388521,0.0619881,0.0551942,-0.000735546,0.00679258,0.0390478,0.309214,-0.176492,0.232008,-0.0113559,0.0222143,0.00553035,5.09,-4.37,-0.679999,0.187,-0.0749999,0.053,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
