Time,Q1,Q2,Q3,Q4,Q5,Q6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,x,y,z,xdot,ydot,zdot,FT1,FT2,FT3,FT4,FT5,FT6,handle_pos1,handle_pos2,mag11, mag12, mag21,mag22,f1,f2, dxl_pos1, dxl_pos2
22:35:17:129096,-0.523634,-0.174446,1.65808,0,1.29154,1.83268,0.00437822,0.00439152,0.00399324,-7.97278e-05,0.000398288,0.00439953,0.311382,-0.179791,0.230806,-0.000505692,0.00208855,0.000384112,4.17,-1,-0.82,0.081,-0.116,0.082,0.0017,-0.0022,0.016362,0.012962,0.0124782,0.0168782,-1.34636,1.75351,951,952
22:35:17:134199,-0.523651,-0.174446,1.65808,0,1.29154,1.83268,0.00864684,0.00865203,0.00795891,-0.000157619,0.000693117,0.00868896,0.311386,-0.179793,0.230806,-0.00099882,0.00412488,0.000729786,3.34,-0.84,-0.87,0.085,-0.118,0.0840001,0.0017,-0.0022,0.016362,0.012962,0.0124782,0.0168782,-1.34636,1.75351,951,952
22:35:17:139206,-0.523651,-0.174446,1.65808,0,1.29154,1.83268,0.0119097,0.0120437,0.0108926,-0.000217095,0.00115108,0.0119677,0.311383,-0.179799,0.230806,-0.00140006,0.00569554,0.00107074,3.34,-0.84,-0.87,0.085,-0.118,0.0840001,0.0017,-0.0022,0.016362,0.012962,0.0124782,0.0168782,-1.34636,1.75351,951,952
22:35:17:144319,-0.523651,-0.174446,1.6581,0,1.29153,1.8327,0.0150912,0.0153314,0.0138167,-0.000275088,0.00151474,0.0151647,0.311383,-0.179799,0.230806,-0.00179126,0.00722693,0.00137759,2.68,0.220001,-0.849999,0.092,-0.135,0.092,0.0017,-0.0022,0.016362,0.012962,0.0124782,0.0168782,-1.34636,1.75351,951,952
22:35:17:149323,-0.523634,-0.174446,1.65812,0,1.29153,1.8327,0.0181345,0.0167917,0.0146374,-0.000330564,0.00215423,0.0182229,0.311382,-0.179798,0.2308,-0.00164264,0.00838992,0.0016547,2.68,0.220001,-0.849999,0.092,-0.135,0.092,0.0017,-0.0022,0.016362,0.012962,0.0124782,0.0168782,-1.34636,1.75351,951,952
22:35:17:154439,-0.523634,-0.174446,1.65815,0,1.29153,1.83275,0.0211021,0.0181997,0.0154892,-0.000384275,0.00271048,0.0212048,0.31138,-0.17979,0.230795,-0.00149776,0.00952383,0.00190411,3.15,0.329998,-0.95,0.085,-0.138,0.0940001,0.0017,-0.0022,0.016362,0.012962,0.0124782,0.0168782,-1.34636,1.75351,951,952
22:35:17:159441,-0.523616,-0.174446,1.65822,0,1.29153,1.83281,0.0246456,0.0197908,0.0164809,-0.000447912,0.00330995,0.0247653,0.311371,-0.179784,0.230785,-0.00130211,0.0108648,0.00217737,3.15,0.329998,-0.95,0.085,-0.138,0.0940001,0.0017,-0.0022,0.016362,0.012962,0.0124782,0.0168782,-1.34636,1.75351,951,952
22:35:17:164555,-0.523599,-0.174428,1.65832,0,1.29153,1.83291,0.0281011,0.0213264,0.0174981,-0.000508665,0.00382834,0.0282371,0.311354,-0.179768,0.230764,-0.00111128,0.0121722,0.00242335,3.59,-0.639999,-0.95,0.086,-0.127,0.099,0.0017,-0.0022,0.016362,0.012962,0.0124782,0.0168782,-1.34636,1.75351,951,952
22:35:17:169564,-0.523564,-0.174428,1.65845,0,1.29153,1.833,0.0313255,0.0242709,0.0203286,-0.000564194,0.00394231,0.0314763,0.311328,-0.179745,0.230739,-0.0014099,0.013667,0.00263561,3.59,-0.639999,-0.95,0.086,-0.127,0.099,0.0017,-0.0022,0.016362,0.012962,0.0124782,0.0168782,-1.34636,1.75351,951,952
22:35:17:174680,-0.523494,-0.174411,1.65859,0,1.29154,1.8331,0.0344699,0.0271291,0.023127,-0.000616438,0.00400209,0.0346347,0.311301,-0.179715,0.230702,-0.00170092,0.0151245,0.0028268,3.27,-0.860001,-0.84,0.096,-0.119,0.095,0.0017,-0.0022,0.016362,0.012962,0.0124782,0.0168782,-1.34636,1.75351,951,952
22:35:17:179736,-0.523424,-0.174393,1.65876,0,1.29154,1.83324,0.036993,0.0299024,0.0260743,-0.000656195,0.00382811,0.0371685,0.311271,-0.179669,0.230667,-0.00209379,0.016385,0.00294378,3.27,-0.860001,-0.84,0.096,-0.119,0.095,0.0017,-0.0022,0.016362,0.012962,0.0124782,0.0168782,-1.34636,1.75351,951,952
22:35:17:184810,-0.523337,-0.174376,1.65895,0,1.29154,1.83338,0.0394543,0.0325992,0.0289683,-0.000693404,0.00363094,0.0396398,0.311235,-0.179619,0.230621,-0.00247667,0.0176141,0.00304925,2.89,-0.279999,-1.03,0.076,-0.124,0.0880001,0.0017,-0.0022,0.016362,0.012962,0.0124782,0.0168782,-1.34636,1.75351,951,952
22:35:17:189855,-0.523232,-0.174341,1.65914,0,1.29154,1.83354,0.0418,0.0343423,0.0304047,-0.000727035,0.00393757,0.0419945,0.311197,-0.179561,0.23057,-0.00256136,0.018623,0.00324516,2.89,-0.279999,-1.03,0.076,-0.124,0.0880001,0.0017,-0.0022,0.016362,0.012962,0.0124782,0.0168782,-1.34636,1.75351,951,952
22:35:17:194961,-0.523128,-0.174306,1.6593,0,1.29154,1.83371,0.0440889,0.0360293,0.0318389,-0.000759647,0.0041905,0.0442923,0.311162,-0.179497,0.230525,-0.00264378,0.0196068,0.00342162,2.78,0.0900002,-1.22,0.059,-0.132,0.0910001,0.0017,-0.0022,0.016362,0.012962,0.0124782,0.0168782,-1.34636,1.75351,951,952
22:35:17:200081,-0.522988,-0.174254,1.65942,0,1.29156,1.8339,0.046447,0.0372208,0.0324018,-0.000794367,0.00481908,0.0466596,0.311136,-0.179439,0.230491,-0.0025404,0.0205115,0.00367861,2.78,0.0900002,-1.22,0.059,-0.132,0.0910001,0.0017,-0.0022,0.016362,0.012962,0.0124782,0.0168782,-1.34636,1.75351,951,952
